ix,nuclear,pv,wind,biomass,hydro,gas,pumped,battery,p2g,import,shortage
0,2166.8849999999998,0.0,2785.698112979353,3585.5026470206476,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
1,2166.8849999999998,0.0,2555.68634218289,3611.4519999999998,1072.352,97.88865781711138,0.0,0.0,0.0,0.0,0.0
2,2166.8849999999998,0.0,2325.6745713864266,3611.4519999999998,1072.352,345.02522861357465,0.0,0.0,0.0,0.0,0.0
3,2166.8849999999998,0.0,2657.9137958702095,3514.639284129792,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
4,2166.8849999999998,0.0,2657.9137958702095,3521.4892041297912,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
5,2166.8849999999998,0.0,1610.0823955752232,3611.4519999999998,1072.352,966.4310044247768,0.0,0.0,0.0,0.0,0.0
6,2166.8849999999998,0.0,1175.6157174041296,3611.4519999999998,1072.352,1392.33528259587,0.0,0.0,0.0,0.0,0.0
7,2166.8849999999998,99.7938157205232,1047.8314002949865,3611.4519999999998,1072.352,1531.6369839844901,0.0,0.0,0.0,0.0,0.0
8,2166.8849999999998,676.3803065502174,868.9333563421789,3611.4519999999998,1072.352,1132.2360571076033,0.0,0.0,0.0,0.0,0.0
9,2166.8849999999998,3226.6667082969443,817.819629498525,2898.682742204532,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
10,2166.8849999999998,6486.598021834053,383.3529513274339,610.9368268385122,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
11,2166.8849999999998,8549.003546724893,255.56863421828896,0.0,0.0,0.0,-57.8221409431826,0.0,0.0,0.0,0.0
12,2166.8849999999998,9114.501835807863,178.8980439528022,0.0,0.0,0.0,-568.9120797606647,0.0,0.0,0.0,0.0
13,2166.8849999999998,7284.948547598248,306.6823610619471,0.0,756.2369835275331,0.0,481.0811878122732,0.0,0.0,0.0,0.0
14,2166.8849999999998,3880.870611353703,383.3529513274339,3413.5994373188632,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
15,2166.8849999999998,1108.8201746724892,562.2509952802361,3611.4519999999998,1072.352,2696.696310047276,0.0,0.0,0.0,0.0,0.0
16,2166.8849999999998,121.9702192139728,843.3764929203537,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,369.04236786567526,0.0
17,2166.8849999999998,0.0,1252.2863076696171,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,414.3238923303852,0.0
18,2166.8849999999998,0.0,1303.4000345132729,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,267.3112854867268,0.0
19,2166.8849999999998,0.0,1150.0588539822973,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,381.26542601770416,0.0
20,2166.8849999999998,0.0,1354.513761356928,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,51.79947864307178,0.0
21,2166.8849999999998,0.0,1507.8549418879036,3611.4519999999998,1072.352,2830.800378112097,0.0,0.0,0.0,0.0,0.0
22,2166.8849999999998,0.0,1712.3098492625343,3611.4519999999998,1072.352,2574.971070737465,0.0,0.0,0.0,0.0,0.0
23,2166.8849999999998,0.0,1916.7647566371652,3611.4519999999998,1072.352,1920.1339233628353,0.0,0.0,0.0,0.0,0.0
24,2166.8849999999998,0.0,1737.8667126843666,3611.4519999999998,1072.352,1684.6118073156322,0.0,0.0,0.0,0.0,0.0
25,2166.8849999999998,0.0,1584.5255321533912,3611.4519999999998,1072.352,2016.0509078466084,0.0,0.0,0.0,0.0,0.0
26,2166.8849999999998,0.0,1252.2863076696171,3611.4519999999998,1072.352,2351.7150923303825,0.0,0.0,0.0,0.0,0.0
27,2166.8849999999998,0.0,996.7176734513307,3611.4519999999998,1072.352,2432.610766548669,0.0,0.0,0.0,0.0,0.0
28,2166.8849999999998,0.0,1047.8314002949865,3611.4519999999998,1072.352,2614.394319705014,0.0,0.0,0.0,0.0,0.0
29,2166.8849999999998,0.0,1150.0588539822973,3611.4519999999998,1072.352,3347.8571060177037,0.0,0.0,0.0,0.0,0.0
30,2166.8849999999998,0.0,1584.5255321533912,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,458.8302678466116,0.0
31,2166.8849999999998,99.7938157205232,1993.435346902653,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,814.9290373768235,0.0
32,2166.8849999999998,665.2921048034926,1865.6510297935097,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,981.7205054029982,0.0
33,2166.8849999999998,3182.3139013100495,2197.890254277283,3611.4519999999998,1072.352,2198.4633244126667,0.0,0.0,0.0,0.0,0.0
34,2166.8849999999998,5821.305917030565,2249.003981120948,3421.2060618484893,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
35,2166.8849999999998,7517.800784279474,1993.435346902653,1844.9939088178714,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
36,2166.8849999999998,7595.418196506556,1584.5255321533912,2237.9355913400514,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
37,2166.8849999999998,6220.481179912662,1788.9804395280219,3442.667300559318,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
38,2166.8849999999998,3670.1947781659364,2095.662800589973,3611.4519999999998,1072.352,1727.185901244091,0.0,0.0,0.0,0.0,0.0
39,2166.8849999999998,1053.3791659388648,2300.1177079646036,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,820.1840460965323,0.0
40,2166.8849999999998,133.0584209606976,2197.890254277283,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,92.7543247620215
41,2166.8849999999998,0.0,2018.9922103244849,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,466.36006967551657
42,2166.8849999999998,0.0,2197.890254277283,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,22.027625722717858
43,2166.8849999999998,0.0,2785.698112979353,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1564.3682470206477,0.0
44,2166.8849999999998,0.0,3450.1765619469006,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,470.05731805310097,0.0
45,2166.8849999999998,0.0,3220.1647911504465,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,73.30140884955472,0.0
46,2166.8849999999998,0.0,3092.3804740412947,3611.4519999999998,1072.352,3111.165565958705,0.0,0.0,0.0,0.0,0.0
47,2166.8849999999998,0.0,2760.141249557521,3611.4519999999998,1072.352,2729.30063044248,0.0,0.0,0.0,0.0,0.0
48,2166.8849999999998,0.0,2555.68634218289,3611.4519999999998,1072.352,2401.1742578171106,0.0,0.0,0.0,0.0,0.0
49,2166.8849999999998,0.0,2274.560844542771,3611.4519999999998,1072.352,2786.761035457229,0.0,0.0,0.0,0.0,0.0
50,2166.8849999999998,0.0,2683.470659292033,3611.4519999999998,1072.352,2311.0645007079693,0.0,0.0,0.0,0.0,0.0
51,2166.8849999999998,0.0,3296.835381415926,3611.4519999999998,1072.352,1517.8893785840755,0.0,0.0,0.0,0.0,0.0
52,2166.8849999999998,0.0,3015.709883775816,3611.4519999999998,1072.352,1927.4508762241858,0.0,0.0,0.0,0.0,0.0
53,2166.8849999999998,0.0,2683.470659292033,3611.4519999999998,1072.352,2939.5446607079684,0.0,0.0,0.0,0.0,0.0
54,2166.8849999999998,0.0,2376.788298230091,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,690.6305417699095,0.0
55,2166.8849999999998,110.882017467248,2146.776527433628,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1429.6780550991261,0.0
56,2166.8849999999998,443.52806986899657,2070.1059371681404,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1601.8225929628643,0.0
57,2166.8849999999998,1585.61284978166,1840.0941663716776,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1174.381423846662,0.0
58,2166.8849999999998,2749.8740331877643,1891.2078932153415,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,274.10283359689674,0.0
59,2166.8849999999998,3648.0183746725,2325.6745713864266,3611.4519999999998,1072.352,2534.8511739410733,0.0,0.0,0.0,0.0,0.0
60,2166.8849999999998,3415.1661379912753,2913.4824300884957,3611.4519999999998,1072.352,2109.6838719202296,0.0,0.0,0.0,0.0,0.0
61,2166.8849999999998,2228.728551091703,3220.1647911504465,3611.4519999999998,1072.352,3123.012537757852,0.0,0.0,0.0,0.0,0.0
62,2166.8849999999998,864.8797362445412,3220.1647911504465,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,648.6173526050134,0.0
63,2166.8849999999998,288.2932454148471,2913.4824300884957,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1723.6839644966567,0.0
64,2166.8849999999998,121.9702192139728,3731.3020595870194,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,892.3769611990083,0.0
65,2166.8849999999998,0.0,4498.007962241887,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,43.85615775811311,0.0
66,2166.8849999999998,0.0,4753.576596460173,3611.4519999999998,1072.352,2924.414723539827,0.0,0.0,0.0,0.0,0.0
67,2166.8849999999998,0.0,4958.0315038348035,3611.4519999999998,1072.352,2600.0862161651967,0.0,0.0,0.0,0.0,0.0
68,2166.8849999999998,0.0,5111.37268436578,3611.4519999999998,1072.352,1934.713515634221,0.0,0.0,0.0,0.0,0.0
69,2166.8849999999998,0.0,5290.270728318586,3611.4519999999998,1072.352,1141.0351516814135,0.0,0.0,0.0,0.0,0.0
70,2166.8849999999998,0.0,5290.270728318586,3611.4519999999998,1072.352,469.7429916814126,0.0,0.0,0.0,0.0,0.0
71,2166.8849999999998,0.0,5418.05504542773,3186.2196345722728,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
72,2166.8849999999998,0.0,5290.270728318586,2519.413231681415,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
73,2166.8849999999998,0.0,5392.498182005897,2124.351697994104,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
74,2166.8849999999998,0.0,5366.941318584066,2276.6320814159344,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
75,2166.8849999999998,0.0,4753.576596460173,2970.483363539829,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
76,2166.8849999999998,0.0,4012.4275572271376,3611.4519999999998,1072.352,141.27992277286376,0.0,0.0,0.0,0.0,0.0
77,2166.8849999999998,0.0,3782.4157864306744,3611.4519999999998,1072.352,480.8904135693265,0.0,0.0,0.0,0.0,0.0
78,2166.8849999999998,0.0,3859.0863766961625,3611.4519999999998,1072.352,733.0159833038389,0.0,0.0,0.0,0.0,0.0
79,2166.8849999999998,99.7938157205232,3986.870693805314,3611.4519999999998,1072.352,921.5704904741632,0.0,0.0,0.0,0.0,0.0
80,2166.8849999999998,465.70447336244615,4089.0981474926252,3611.4519999999998,1072.352,816.4781391449305,0.0,0.0,0.0,0.0,0.0
81,2166.8849999999998,1452.5544288209603,4574.678552507375,3611.4519999999998,1072.352,191.72537867166648,0.0,0.0,0.0,0.0,0.0
82,2166.8849999999998,2062.405524890829,5290.270728318586,3114.7766667905867,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
83,2166.8849999999998,2173.287542358079,5315.82759174041,3332.821145901512,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
84,2166.8849999999998,1862.8178934497823,5622.509952802361,3302.3588337478573,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
85,2166.8849999999998,1164.261183406113,5545.8393625368735,3611.4519999999998,1072.352,409.62229405701146,0.0,0.0,0.0,0.0,0.0
86,2166.8849999999998,598.7628943231437,5980.306040707967,3611.4519999999998,1072.352,456.74238496888756,0.0,0.0,0.0,0.0,0.0
87,2166.8849999999998,188.4994296943216,6312.545265191741,3611.4519999999998,1072.352,738.5517451139367,0.0,0.0,0.0,0.0,0.0
88,2166.8849999999998,110.882017467248,6568.113899410028,3611.4519999999998,1072.352,666.7742831227242,0.0,0.0,0.0,0.0,0.0
89,2166.8849999999998,0.0,6568.113899410028,3611.4519999999998,1072.352,402.62318058997334,0.0,0.0,0.0,0.0,0.0
90,2166.8849999999998,0.0,6798.12567020649,3474.1045297935116,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
91,2166.8849999999998,0.0,6721.455079941003,3331.5776800589983,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
92,2166.8849999999998,0.0,6005.862904129791,3611.4519999999998,1072.352,160.00857587020982,0.0,0.0,0.0,0.0,0.0
93,2166.8849999999998,0.0,6235.874674926254,2820.494725073747,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
94,2166.8849999999998,0.0,6056.976630973455,2658.6092490265464,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
95,2166.8849999999998,0.0,6235.874674926254,1907.742885073748,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
96,2166.8849999999998,0.0,6235.874674926254,1113.1521650737457,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
97,2166.8849999999998,0.0,6338.102128613573,969.8251913864267,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
98,2166.8849999999998,0.0,6184.760948082597,1263.5897319174046,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
99,2166.8849999999998,0.0,5954.749177286135,1502.163902713867,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
100,2166.8849999999998,0.0,5750.294269911504,1778.542970088497,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
101,2166.8849999999998,0.0,5315.82759174041,2296.9211682595915,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
102,2166.8849999999998,0.0,5239.157001474923,2620.1888785250767,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
103,2166.8849999999998,88.7056139737984,5162.486411209436,3111.6229748167652,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
104,2166.8849999999998,731.8213152838437,4855.804050147493,3145.085314568664,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
105,2166.8849999999998,3769.988593886455,4114.655010914458,1688.8947551990886,1072.352,0.0,0.0,0.0,0.0,0.0,0.0
106,2166.8849999999998,7107.537319650647,3680.188332743364,0.0,522.6069476059893,0.0,0.0,0.0,0.0,0.0,0.0
107,2166.8849999999998,9125.590037554592,2964.5961569321516,0.0,0.0,0.0,-586.3433544867439,0.0,0.0,0.0,0.0
108,2166.8849999999998,8781.855783406118,2402.345161651914,0.0,0.0,0.0,50.78253494196906,0.0,0.0,0.0,0.0
