year,month,pv_capacity,wind_capacity
2015,1,2075.5,278.1
2015,2,2074.3,278.1
2015,3,2075.0,278.1
2015,4,2081.2,278.1
2015,5,2074.3,278.1
2015,6,2074.0,278.1
2015,7,2074.1,276.6
2015,8,2071.7,276.6
2015,9,2080.5,276.6
2015,10,2069.3,276.6
2015,11,2073.2,276.6
2015,12,2069.8,276.6
2016,1,2073.1,282.2
2016,2,2073.0,282.0
2016,3,2073.1,282.0
2016,4,2072.2,282.0
2016,5,2071.8,282.0
2016,6,2070.4,280.5
2016,7,2069.7,280.5
2016,8,2067.5,280.5
2016,9,2067.1,280.5
2016,10,2063.4,280.5
2016,11,2055.6,280.5
2016,12,2047.0,280.5
2017,1,2077.8,282.2
2017,2,2071.3,282.2
2017,3,2074.0,282.2
2017,4,2073.4,282.2
2017,5,2089.6,282.2
2017,6,2075.5,282.2
2017,7,2068.5,282.2
2017,8,2065.5,282.1
2017,9,2059.1,282.1
2017,10,2052.9,282.1
2017,11,2049.9,308.2
2017,12,2040.3,308.2
2018,1,2074.2,308.2
2018,2,2074.2,308.1
2018,3,2074.0,308.1
2018,4,2074.2,308.1
2018,5,2073.0,308.1
2018,6,2073.0,308.1
2018,7,2064.6,308.1
2018,8,2058.2,310.1
2018,9,2057.6,310.1
2018,10,2056.0,310.1
2018,11,2053.7,310.1
2018,12,2048.9,316.2
2019,1,2061.1,318.4
2019,2,2062.0,318.9
2019,3,2062.0,319.1
2019,4,2061.8,319.1
2019,5,2063.2,319.1
2019,6,2063.2,319.1
2019,7,2061.6,339.4
2019,8,2058.0,339.4
2019,9,2056.9,339.4
2019,10,2054.8,339.4
2019,11,2053.4,339.4
2019,12,2044.3,339.4
2020,1,2067.4,339.4
2020,2,2068.1,339.4
2020,3,2066.4,339.4
2020,4,2067.7,339.4
2020,5,2068.0,339.4
2020,6,2068.1,339.4
2020,7,2067.5,339.4
2020,8,2067.6,339.4
2020,9,2067.3,339.4
2020,10,2065.9,339.4
2020,11,2060.9,339.4
2020,12,2054.0,339.4
2021,1,2078.0,339.4
2021,2,2078.6,339.4
2021,3,2078.7,339.4
2021,4,2079.9,339.4
2021,5,2079.1,339.4
2021,6,2079.5,339.4
2021,7,2078.8,339.4
2021,8,2078.7,339.4
2021,9,2078.7,339.4
2021,10,2075.7,339.4
2021,11,2072.1,339.4
2021,12,2067.8,339.3
